"Name","Group A/acc@1","Group B/acc@1","Group A/acc@5","Group B/acc@5","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.agg_knowledge_bank_filepath","captioner.knowledge_bank_filepath","captioner.method","captioner.model","captioner.num_rounds","captioner.num_samples","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.clip_model","inv_diff.inverse_cca.ktype","inv_diff.inverse_cca.type","inv_diff.knowledge_bank_filepath","inv_diff.method","project","seed","wandb","Group A/acc@N","Group B/acc@N"
"MimicCxrImageSets","1","0","1","1","finished","-","","","2026-01-26T19:59:09.000Z","76","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/19_medium.yaml","Clear lungs with no acute abnormality","Abnormal widening or contour of the mediastinum","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","1","1"
"MimicCxrImageSets","1","0","1","0.5","finished","-","","","2026-01-26T19:57:14.000Z","85","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/18_medium.yaml","Clear lungs with no acute abnormality","Pulmonary nodules or lung mass","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","1","0.5"
"MimicCxrImageSets","0","1","0.5","1","finished","-","","","2026-01-26T19:55:14.000Z","90","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/17_medium.yaml","Costophrenic angle abnormality without large effusion","Pleural fluid at the lung bases","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","0.5","1"
"MimicCxrImageSets","0.5","0.5","0.5","1","finished","-","","","2026-01-26T19:53:10.000Z","91","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/16_medium.yaml","Elevation of hemidiaphragm","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","0.5","1"
"MimicCxrImageSets","1","0","1","0","finished","-","","","2026-01-26T19:51:19.000Z","86","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/15_medium.yaml","Clear lungs with no acute abnormality","Mediastinal or tracheal shift","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","1","0"
"MimicCxrImageSets","1","1","1","1","finished","-","","","2026-01-26T19:49:25.000Z","86","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/14_medium.yaml","Reduced lung volume due to atelectasis","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","1","1"
"MimicCxrImageSets","1","0.5","1","0.5","finished","-","","","2026-01-26T19:47:39.000Z","78","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/13_medium.yaml","Clear lungs with no acute abnormality","Upper-lobe-predominant lung abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","1","0.5"
"MimicCxrImageSets","1","0","1","0.5","finished","-","","","2026-01-26T19:45:52.000Z","79","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/12_medium.yaml","Clear lungs with no acute abnormality","Lower-lobe-predominant lung abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","1","0.5"
"MimicCxrImageSets","0.5","0.5","0.5","0.5","finished","-","","","2026-01-26T19:43:46.000Z","102","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/11_medium.yaml","Unilateral lung abnormality","Diffuse bilateral lung opacities","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","0.5","0.5"
"MimicCxrImageSets","1","1","1","1","finished","-","","","2026-01-26T19:42:56.000Z","26","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/10_medium.yaml","Localized lung opacity","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","1","1"
