"Name","Group A/acc@5","Group A/acc@1","Group A/acc@N","State","Notes","User","Tags","Created","Runtime","Sweep","analysis","captioner.agg_knowledge_bank_filepath","captioner.analysis","captioner.knowledge_bank_filepath","captioner.method","captioner.model","captioner.num_rounds","captioner.num_samples","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.analysis","inv_diff.clip_model","inv_diff.inverse_cca.ktype","inv_diff.inverse_cca.type","inv_diff.knowledge_bank_filepath","inv_diff.method","project","seed","wandb","time/generate_captions_minutes","time/generate_captions_seconds","time/load_config_and_data_minutes","time/load_config_and_data_seconds","time/propose_rank_elapsed_time_extract_clip_img_embeds_minutes","time/propose_rank_elapsed_time_extract_clip_img_embeds_seconds","time/propose_rank_elapsed_time_extract_clip_txt_embeds_minutes","time/propose_rank_elapsed_time_extract_clip_txt_embeds_seconds","time/propose_rank_elapsed_time_extract_vocab_filtering_cls0_minutes","time/propose_rank_elapsed_time_extract_vocab_filtering_cls0_seconds","time/propose_rank_elapsed_time_extract_vocab_filtering_cls1_minutes","time/propose_rank_elapsed_time_extract_vocab_filtering_cls1_seconds","time/propose_rank_elapsed_time_extract_vocab_filtering_minutes","time/propose_rank_elapsed_time_extract_vocab_filtering_seconds","time/propose_rank_elapsed_time_inverse_cca_cls0_minutes","time/propose_rank_elapsed_time_inverse_cca_cls0_seconds","time/propose_rank_elapsed_time_inverse_cca_cls1_minutes","time/propose_rank_elapsed_time_inverse_cca_cls1_seconds","time/propose_rank_elapsed_time_standardization_minutes","time/propose_rank_elapsed_time_standardization_seconds","time/total_propose_rank_minutes","time/total_propose_rank_seconds","time/total_runtime_minutes","time/total_runtime_seconds"
"PairedImageSets","1","1","1","finished","-","","","2026-03-30T18:17:02.000Z","55","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/149_hard.yaml","People practicing the Sun Salutation in yoga","People practicing the Tree Pose in yoga","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0","true","0.6028579751650492","36.171478509902954","0.0292232076327006","1.753392457962036","0.23504280646642048","14.10256838798523","0.007175878683725993","0.4305527210235596","0.000030938784281412764","0.0018563270568847656","3.9736429850260414e-8","0.000002384185791015625","0.000030990441640218096","0.001859426498413086","0.008342917760213215","0.500575065612793","6.357828776041668e-8","0.000003814697265625","0.00005092620849609375","0.003055572509765625","0.2512099107106527","15.07259464263916","0.8832911292711894","52.99746775627136"
"PairedImageSets","0.5","0","0.5","finished","-","","","2026-03-30T18:16:05.000Z","48","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/148_hard.yaml","Cakes decorated with marzipan","Cakes decorated with buttercream roses","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0","true","0.501662532488505","30.099751949310303","0.08987911939620971","5.392747163772583","0.23615097602208457","14.169058561325071","0.008127967516581217","0.48767805099487305","0.00024624268213907876","0.014774560928344728","1.2715657552083333e-7","0.00000762939453125","0.0002463817596435547","0.01478290557861328","0.0074963212013244625","0.4497792720794678","5.5631001790364584e-8","0.000003337860107421875","0.00012225707372029622","0.007335424423217773","0.2527337193489075","15.164023160934448","0.8442754109700521","50.656524658203125"
"PairedImageSets","1","1","1","finished","-","","","2026-03-30T18:14:58.000Z","56","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/147_hard.yaml","Basketball players attempting free throws","Basketball players attempting slam dunks","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0","true","0.5972306330998739","35.83383798599243","0.019123164812723796","1.1473898887634275","0.2360438068707784","14.162628412246704","0.00833956003189087","0.5003736019134521","0.000027024745941162108","0.0016214847564697266","4.3710072835286455e-8","0.0000026226043701171875","0.000027076403299967447","0.0016245841979980469","0.007756749788920085","0.4654049873352051","3.178914388020833e-8","0.0000019073486328125","0.00004579623540242513","0.002747774124145508","0.25353822310765584","15.21229338645935","0.8698920448621114","52.193522691726685"
"PairedImageSets","0.5","0","0.5","finished","-","","","2026-03-30T18:13:57.000Z","54","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/146_hard.yaml","Male professional swimmers in freestyle race","Male professional swimmers in butterfly race","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0","true","0.5905850450197856","35.435102701187134","0.0158058762550354","0.948352575302124","0.2346540093421936","14.079240560531616","0.006531238555908203","0.3918743133544922","0.000026690959930419923","0.001601457595825195","4.76837158203125e-8","0.00000286102294921875","0.00002674261728922526","0.0016045570373535156","0.007338953018188476","0.4403371810913086","5.5631001790364584e-8","0.000003337860107421875","0.000047477086385091144","0.0028486251831054688","0.2496827761332194","14.980966567993164","0.8560737331708272","51.364423990249634"
"PairedImageSets","0.5","0.5","0.5","finished","-","","","2026-03-30T18:12:59.000Z","51","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/145_hard.yaml","Residential buildings in Art Deco style","Residential buildings in Brutalist style","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0","true","0.5500378529230754","33.00227117538452","0.021097958087921143","1.2658774852752686","0.2383161664009094","14.298969984054564","0.008268566926320393","0.4961140155792236","0.000026388963063557944","0.0015833377838134766","4.3710072835286455e-8","0.0000026226043701171875","0.000026440620422363283","0.0015864372253417969","0.006918191909790039","0.41509151458740234","5.5631001790364584e-8","0.000003337860107421875","0.00004865725835164388","0.002919435501098633","0.25466588338216145","15.279953002929688","0.8258017301559448","49.54810380935669"
"PairedImageSets","0.5","0.5","0.5","finished","-","","","2026-03-30T18:11:58.000Z","54","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/144_hard.yaml","Portraits painted in cubist style","Portraits painted in impressionist style","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0","true","0.5824971834818522","34.94983100891113","0.02287982702255249","1.3727896213531494","0.23644039630889893","14.186423778533936","0.0067271272341410315","0.4036276340484619","0.00003533363342285156","0.0021200180053710938","2.7815500895182292e-8","0.0000016689300537109375","0.00003537734349568685","0.002122640609741211","0.007303945223490397","0.43823671340942383","2.7815500895182292e-8","0.0000016689300537109375","0.00004657506942749023","0.002794504165649414","0.2510764916737874","15.064589500427246","0.8564535299936931","51.38721179962158"
"PairedImageSets","0.5","0.5","0.5","finished","-","","","2026-03-30T18:10:59.000Z","51","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/143_hard.yaml","Books with hardcover binding","Books with leather-bound covers","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0","true","0.5161118467648824","30.966710805892944","0.025188374519348144","1.511302471160889","0.2358248194058736","14.149489164352415","0.007389942804972331","0.44339656829833984","0.000035945574442545576","0.0021567344665527344","5.1657358805338543e-8","0.0000030994415283203125","0.00003600517908732097","0.002160310745239258","0.007526175181070963","0.4515705108642578","4.76837158203125e-8","0.00000286102294921875","0.00005067189534505208","0.003040313720703125","0.2514369567235311","15.086217403411863","0.7927372058232626","47.56423234939575"
"PairedImageSets","1","1","1","finished","-","","","2026-03-30T18:09:55.000Z","57","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/142_hard.yaml","Acoustic guitars being played","Classical guitars being played","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0","true","0.6158609350522359","36.951656103134155","0.018353474140167237","1.1012084484100342","0.23613643248875937","14.168185949325562","0.006552644570668538","0.3931586742401123","0.000026492277781168615","0.0015895366668701172","3.9736429850260414e-8","0.000002384185791015625","0.00002653996149698893","0.001592397689819336","0.007238014539082845","0.4342808723449707","4.76837158203125e-8","0.00000286102294921875","0.000046531359354654946","0.002791881561279297","0.2510915438334147","15.065492630004885","0.8853059887886048","53.11835932731629"
"PairedImageSets","1","1","1","finished","-","","","2026-03-30T18:08:51.000Z","57","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/141_hard.yaml","Poems written in free verse","Poems written in sonnet form","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0","true","0.6268622318903605","37.61173391342163","0.019376695156097412","1.1626017093658447","0.24084922870000203","14.450953722000122","0.007799001534779867","0.467940092086792","0.000027267138163248696","0.001636028289794922","3.9736429850260414e-8","0.000002384185791015625","0.00002731482187906901","0.0016388893127441406","0.007050617535909017","0.423037052154541","5.960464477539064e-8","0.0000035762786865234375","0.00004701614379882812","0.0028209686279296875","0.2570757230122884","15.424543380737305","0.9033146937688192","54.19888162612915"
"PairedImageSets","1","0.5","1","finished","-","","","2026-03-30T18:07:49.000Z","55","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/140_hard.yaml","Cities with Gothic architecture","Cities with Modernist architecture","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0","true","0.6031801064809164","36.19080638885498","0.0597674290339152","3.586045742034912","0.239359180132548","14.36155080795288","0.007237490018208822","0.4342494010925293","0.00003136396408081055","0.0018818378448486328","4.3710072835286455e-8","0.0000026226043701171875","0.00003141562143961589","0.0018849372863769531","0.0071520129839579265","0.4291207790374756","4.3710072835286455e-8","0.0000026226043701171875","0.0000464479128519694","0.002786874771118164","0.2549872398376465","15.299234390258787","0.917934807141622","55.076088428497314"
