"Name","Group A/acc@1","Group B/acc@1","Group A/acc@5","Group B/acc@5","Group A/acc@N","Group B/acc@N","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.agg_knowledge_bank_filepath","captioner.knowledge_bank_filepath","captioner.method","captioner.model","captioner.num_rounds","captioner.num_samples","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.clip_model","inv_diff.inverse_cca.ktype","inv_diff.inverse_cca.type","inv_diff.knowledge_bank_filepath","inv_diff.method","project","seed","wandb"
"ImageNetStar","1","0","1","0","1","0","finished","-","","","2026-01-12T13:06:30.000Z","73","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetstar/in_the_snow-base.yaml","in the snow","base","ImageNetStar","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","kcca","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetStar","0","true"
"ImageNetStar","1","0","1","0","1","0","finished","-","","","2026-01-12T13:05:09.000Z","71","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetstar/in_the_fog-base.yaml","in the fog","base","ImageNetStar","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","kcca","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetStar","0","true"
"ImageNetStar","1","0","1","0","1","0","finished","-","","","2026-01-12T13:03:43.000Z","75","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetstar/embroidery-base.yaml","embroidery","base","ImageNetStar","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","kcca","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetStar","0","true"
"ImageNetStar","1","0","1","0","1","0","finished","-","","","2026-01-12T13:02:15.000Z","75","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetstar/at_night-base.yaml","at night","base","ImageNetStar","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","kcca","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetStar","0","true"
"ImageNetStar","0","0","0.5","0","0.5","0","finished","-","","","2026-01-12T13:00:49.000Z","76","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetstar/on_the_road-base.yaml","on the road","base","ImageNetStar","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","kcca","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetStar","0","true"
"ImageNetStar","0","0","0","0","0","0","finished","-","","","2026-01-12T12:59:21.000Z","75","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetstar/and_a_flower-base.yaml","and a flower","base","ImageNetStar","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","kcca","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetStar","0","true"
"ImageNetStar","1","0","1","0","1","0","finished","-","","","2026-01-12T12:57:57.000Z","74","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetstar/blue-base.yaml","blue","base","ImageNetStar","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","kcca","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetStar","0","true"
"ImageNetStar","1","0","1","0","1","0","finished","-","","","2026-01-12T12:56:30.000Z","74","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetstar/yellow-base.yaml","yellow","base","ImageNetStar","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","kcca","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetStar","0","true"
"ImageNetStar","1","1","1","1","1","1","finished","-","","","2026-01-12T12:55:05.000Z","74","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetstar/in_the_grass-base.yaml","in the grass","base","ImageNetStar","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","kcca","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetStar","0","true"
"ImageNetStar","0.5","0","1","0","1","0","finished","-","","","2026-01-12T12:53:40.000Z","73","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetstar/in_the_rain-base.yaml","in the rain","base","ImageNetStar","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","kcca","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetStar","0","true"
